"case_label","p","q","p_recovered","abs_error","p0","gamma","mu","sigma","facet"
"inv_A",0.4375,1.68454205989838,0.437500007548935,7.54893553223113e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.440625,1.70171862840652,0.440625001307305,1.30730554159797e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.44375,1.71899145841599,0.443750001321975,1.3219754180227e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.446875,1.73636159300804,0.446875000041882,4.18817758252032e-11,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.45,1.75383014976978,0.45000000011163,1.11629705479288e-10,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_B",0.35,-1.64201489908972,0.35,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.35375,-1.62283176903654,0.35375,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.3575,-1.60385092531863,0.3575,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.36125,-1.58506814619199,0.36125,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.365,-1.56647934071146,0.365,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.36875,-1.54808054338269,0.36875,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.3725,-1.52986790908464,0.3725,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.37625,-1.51183770824639,0.37625,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.38,-1.49398632226317,0.38,5.55111512312578e-17,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.38375,-1.47631023913741,0.38375,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.3875,-1.45880604933182,0.3875,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.39125,-1.44147044182209,0.39125,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.395,-1.42430020033793,0.395,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.39875,-1.40729219978165,0.39875,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.4025,-1.39044340281443,0.4025,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.40625,-1.37375085660084,0.40625,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.41,-1.35721168970291,0.41,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.41375,-1.34082310911565,0.41375,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.4175,-1.32458239743631,0.4175,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.42125,-1.30848691016012,0.42125,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
