"x","cdf","gamma","gamma_label","p0"
-7.6,0.060402671681101,-1.01769180900079,"gamma = -1.018",0.6
-7.58666666666667,0.0607515132339258,-1.01769180900079,"gamma = -1.018",0.6
-7.57333333333333,0.0611020106501189,-1.01769180900079,"gamma = -1.018",0.6
-7.56,0.061454169315426,-1.01769180900079,"gamma = -1.018",0.6
-7.54666666666667,0.061807994616943,-1.01769180900079,"gamma = -1.018",0.6
-7.53333333333333,0.0621634919429952,-1.01769180900079,"gamma = -1.018",0.6
-7.52,0.0625206666830171,-1.01769180900079,"gamma = -1.018",0.6
-7.50666666666667,0.062879524227432,-1.01769180900079,"gamma = -1.018",0.6
-7.49333333333333,0.0632400699675285,-1.01769180900079,"gamma = -1.018",0.6
-7.48,0.0636023092953389,-1.01769180900079,"gamma = -1.018",0.6
-7.46666666666667,0.0639662476035151,-1.01769180900079,"gamma = -1.018",0.6
-7.45333333333333,0.064331890285205,-1.01769180900079,"gamma = -1.018",0.6
-7.44,0.064699242733927,-1.01769180900079,"gamma = -1.018",0.6
-7.42666666666667,0.0650683103434448,-1.01769180900079,"gamma = -1.018",0.6
-7.41333333333333,0.0654390985076401,-1.01769180900079,"gamma = -1.018",0.6
-7.4,0.0658116126203866,-1.01769180900079,"gamma = -1.018",0.6
-7.38666666666667,0.0661858580754212,-1.01769180900079,"gamma = -1.018",0.6
-7.37333333333333,0.0665618402662161,-1.01769180900079,"gamma = -1.018",0.6
-7.36,0.0669395645858494,-1.01769180900079,"gamma = -1.018",0.6
-7.34666666666667,0.0673190364268742,-1.01769180900079,"gamma = -1.018",0.6
-7.33333333333333,0.0677002611811878,-1.01769180900079,"gamma = -1.018",0.6
-7.32,0.0680832442399018,-1.01769180900079,"gamma = -1.018",0.6
-7.30666666666667,0.0684679909932071,-1.01769180900079,"gamma = -1.018",0.6
-7.29333333333333,0.068854506830244,-1.01769180900079,"gamma = -1.018",0.6
-7.28,0.069242797138965,-1.01769180900079,"gamma = -1.018",0.6
-7.26666666666667,0.0696328673060032,-1.01769180900079,"gamma = -1.018",0.6
-7.25333333333333,0.0700247227165346,-1.01769180900079,"gamma = -1.018",0.6
-7.24,0.0704183687541443,-1.01769180900079,"gamma = -1.018",0.6
-7.22666666666667,0.0708138108006883,-1.01769180900079,"gamma = -1.018",0.6
-7.21333333333333,0.0712110542361563,-1.01769180900079,"gamma = -1.018",0.6
-7.2,0.0716101044385336,-1.01769180900079,"gamma = -1.018",0.6
-7.18666666666667,0.0720109667836613,-1.01769180900079,"gamma = -1.018",0.6
-7.17333333333333,0.0724136466450984,-1.01769180900079,"gamma = -1.018",0.6
-7.16,0.0728181493939793,-1.01769180900079,"gamma = -1.018",0.6
-7.14666666666667,0.0732244803988743,-1.01769180900079,"gamma = -1.018",0.6
-7.13333333333333,0.0736326450256458,-1.01769180900079,"gamma = -1.018",0.6
-7.12,0.0740426486373067,-1.01769180900079,"gamma = -1.018",0.6
-7.10666666666667,0.0744544965938777,-1.01769180900079,"gamma = -1.018",0.6
-7.09333333333333,0.0748681942522412,-1.01769180900079,"gamma = -1.018",0.6
-7.08,0.075283746965998,-1.01769180900079,"gamma = -1.018",0.6
-7.06666666666667,0.0757011600853205,-1.01769180900079,"gamma = -1.018",0.6
-7.05333333333333,0.0761204389568065,-1.01769180900079,"gamma = -1.018",0.6
-7.04,0.0765415889233331,-1.01769180900079,"gamma = -1.018",0.6
-7.02666666666667,0.0769646153239066,-1.01769180900079,"gamma = -1.018",0.6
-7.01333333333333,0.0773895234935162,-1.01769180900079,"gamma = -1.018",0.6
-7,0.0778163187629832,-1.01769180900079,"gamma = -1.018",0.6
-6.98666666666667,0.0782450064588102,-1.01769180900079,"gamma = -1.018",0.6
-6.97333333333333,0.0786755919030323,-1.01769180900079,"gamma = -1.018",0.6
-6.96,0.0791080804130638,-1.01769180900079,"gamma = -1.018",0.6
-6.94666666666667,0.0795424773015454,-1.01769180900079,"gamma = -1.018",0.6
-6.93333333333333,0.0799787878761926,-1.01769180900079,"gamma = -1.018",0.6
-6.92,0.0804170174396407,-1.01769180900079,"gamma = -1.018",0.6
-6.90666666666667,0.0808571712892907,-1.01769180900079,"gamma = -1.018",0.6
-6.89333333333333,0.081299254717153,-1.01769180900079,"gamma = -1.018",0.6
-6.88,0.0817432730096929,-1.01769180900079,"gamma = -1.018",0.6
-6.86666666666667,0.082189231447671,-1.01769180900079,"gamma = -1.018",0.6
-6.85333333333333,0.082637135305989,-1.01769180900079,"gamma = -1.018",0.6
-6.84,0.0830869898535286,-1.01769180900079,"gamma = -1.018",0.6
-6.82666666666667,0.0835388003529931,-1.01769180900079,"gamma = -1.018",0.6
-6.81333333333333,0.0839925720607478,-1.01769180900079,"gamma = -1.018",0.6
-6.8,0.0844483102266598,-1.01769180900079,"gamma = -1.018",0.6
-6.78666666666667,0.0849060200939344,-1.01769180900079,"gamma = -1.018",0.6
-6.77333333333333,0.0853657068989562,-1.01769180900079,"gamma = -1.018",0.6
-6.76,0.0858273758711241,-1.01769180900079,"gamma = -1.018",0.6
-6.74666666666667,0.0862910322326874,-1.01769180900079,"gamma = -1.018",0.6
-6.73333333333333,0.0867566811985829,-1.01769180900079,"gamma = -1.018",0.6
