"x","cdf","case_label","p0","gamma","mu","sigma","facet"
-8.72,0.178965421568777,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.7,0.179369797692624,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.68,0.179775087512804,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.66,0.180181293093834,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.64,0.180588416504894,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.62,0.180996459819841,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.6,0.181405425117217,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.58,0.18181531448026,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.56,0.182226129996917,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.54,0.182637873759851,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.52,0.183050547866453,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.5,0.183464154418855,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.48,0.183878695523937,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.46,0.184294173293341,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.44,0.184710589843481,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.42,0.185127947295549,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.4,0.185546247775534,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.38,0.185965493414228,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.36,0.186385686347237,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.34,0.186806828714991,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.32,0.187228922662758,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.3,0.187651970340654,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.28,0.188075973903651,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.26,0.188500935511593,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.24,0.188926857329201,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.22,0.18935374152609,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.2,0.189781590276776,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.18,0.190210405760688,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.16,0.190640190162181,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.14,0.191070945670543,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.12,0.191502674480012,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.1,0.191935378789781,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.08,0.192369060804014,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.06,0.192803722731855,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.04,0.193239366787438,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.02,0.193675995189903,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8,0.194113610163402,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.98,0.194552213937112,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.96,0.194991808745249,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.94,0.195432396827075,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.92,0.195873980426914,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
