"x","density","gamma","gamma_label","p0"
-6.72,0.0351485563122939,-1.01769180900079,"gamma = -1.018",0.6
-6.70666666666667,0.0352989769813584,-1.01769180900079,"gamma = -1.018",0.6
-6.69333333333333,0.035449786753528,-1.01769180900079,"gamma = -1.018",0.6
-6.68,0.0356009850241255,-1.01769180900079,"gamma = -1.018",0.6
-6.66666666666667,0.0357525711758342,-1.01769180900079,"gamma = -1.018",0.6
-6.65333333333333,0.0359045445786414,-1.01769180900079,"gamma = -1.018",0.6
-6.64,0.0360569045897824,-1.01769180900079,"gamma = -1.018",0.6
-6.62666666666667,0.0362096505536837,-1.01769180900079,"gamma = -1.018",0.6
-6.61333333333333,0.036362781801907,-1.01769180900079,"gamma = -1.018",0.6
-6.6,0.0365162976530925,-1.01769180900079,"gamma = -1.018",0.6
-6.58666666666667,0.036670197412903,-1.01769180900079,"gamma = -1.018",0.6
-6.57333333333333,0.0368244803739667,-1.01769180900079,"gamma = -1.018",0.6
-6.56,0.0369791458158217,-1.01769180900079,"gamma = -1.018",0.6
-6.54666666666667,0.0371341930048586,-1.01769180900079,"gamma = -1.018",0.6
-6.53333333333333,0.037289621194265,-1.01769180900079,"gamma = -1.018",0.6
-6.52,0.0374454296239682,-1.01769180900079,"gamma = -1.018",0.6
-6.50666666666667,0.0376016175205792,-1.01769180900079,"gamma = -1.018",0.6
-6.49333333333333,0.0377581840973359,-1.01769180900079,"gamma = -1.018",0.6
-6.48,0.0379151285540469,-1.01769180900079,"gamma = -1.018",0.6
-6.46666666666667,0.0380724500770346,-1.01769180900079,"gamma = -1.018",0.6
-6.45333333333333,0.0382301478390789,-1.01769180900079,"gamma = -1.018",0.6
-6.44,0.0383882209993604,-1.01769180900079,"gamma = -1.018",0.6
-6.42666666666667,0.0385466687034038,-1.01769180900079,"gamma = -1.018",0.6
-6.41333333333333,0.0387054900830216,-1.01769180900079,"gamma = -1.018",0.6
-6.4,0.0388646842562568,-1.01769180900079,"gamma = -1.018",0.6
-6.38666666666667,0.0390242503273271,-1.01769180900079,"gamma = -1.018",0.6
-6.37333333333333,0.039184187386567,-1.01769180900079,"gamma = -1.018",0.6
-6.36,0.0393444945103725,-1.01769180900079,"gamma = -1.018",0.6
-6.34666666666667,0.039505170761143,-1.01769180900079,"gamma = -1.018",0.6
-6.33333333333333,0.0396662151872254,-1.01769180900079,"gamma = -1.018",0.6
-6.32,0.039827626822857,-1.01769180900079,"gamma = -1.018",0.6
-6.30666666666667,0.0399894046881083,-1.01769180900079,"gamma = -1.018",0.6
-6.29333333333333,0.0401515477888267,-1.01769180900079,"gamma = -1.018",0.6
-6.28,0.0403140551165794,-1.01769180900079,"gamma = -1.018",0.6
-6.26666666666667,0.040476925648596,-1.01769180900079,"gamma = -1.018",0.6
-6.25333333333333,0.0406401583477124,-1.01769180900079,"gamma = -1.018",0.6
-6.24,0.0408037521623127,-1.01769180900079,"gamma = -1.018",0.6
-6.22666666666667,0.0409677060262731,-1.01769180900079,"gamma = -1.018",0.6
-6.21333333333333,0.0411320188589041,-1.01769180900079,"gamma = -1.018",0.6
-6.2,0.0412966895648939,-1.01769180900079,"gamma = -1.018",0.6
-6.18666666666667,0.0414617170342508,-1.01769180900079,"gamma = -1.018",0.6
-6.17333333333333,0.0416271001422461,-1.01769180900079,"gamma = -1.018",0.6
-6.16,0.0417928377493569,-1.01769180900079,"gamma = -1.018",0.6
-6.14666666666667,0.0419589287012086,-1.01769180900079,"gamma = -1.018",0.6
-6.13333333333333,0.0421253718285177,-1.01769180900079,"gamma = -1.018",0.6
-6.12,0.0422921659470343,-1.01769180900079,"gamma = -1.018",0.6
-6.10666666666667,0.0424593098574846,-1.01769180900079,"gamma = -1.018",0.6
-6.09333333333333,0.0426268023455134,-1.01769180900079,"gamma = -1.018",0.6
-6.08,0.0427946421816263,-1.01769180900079,"gamma = -1.018",0.6
-6.06666666666667,0.0429628281211323,-1.01769180900079,"gamma = -1.018",0.6
-6.05333333333333,0.0431313589040862,-1.01769180900079,"gamma = -1.018",0.6
-6.04,0.0433002332552301,-1.01769180900079,"gamma = -1.018",0.6
-6.02666666666667,0.0434694498839366,-1.01769180900079,"gamma = -1.018",0.6
-6.01333333333333,0.0436390074841499,-1.01769180900079,"gamma = -1.018",0.6
-6,0.0438089047343284,-1.01769180900079,"gamma = -1.018",0.6
-5.98666666666667,0.0439791402973867,-1.01769180900079,"gamma = -1.018",0.6
-5.97333333333333,0.0441497128206367,-1.01769180900079,"gamma = -1.018",0.6
-5.96,0.0443206209357303,-1.01769180900079,"gamma = -1.018",0.6
-5.94666666666667,0.0444918632586006,-1.01769180900079,"gamma = -1.018",0.6
-5.93333333333333,0.0446634383894037,-1.01769180900079,"gamma = -1.018",0.6
-5.92,0.0448353449124601,-1.01769180900079,"gamma = -1.018",0.6
-5.90666666666667,0.0450075813961962,-1.01769180900079,"gamma = -1.018",0.6
-5.89333333333333,0.0451801463930856,-1.01769180900079,"gamma = -1.018",0.6
-5.88,0.0453530384395906,-1.01769180900079,"gamma = -1.018",0.6
-5.86666666666667,0.0455262560561031,-1.01769180900079,"gamma = -1.018",0.6
-5.85333333333333,0.0456997977468856,-1.01769180900079,"gamma = -1.018",0.6
-5.84,0.0458736620000123,-1.01769180900079,"gamma = -1.018",0.6
-5.82666666666667,0.0460478472873101,-1.01769180900079,"gamma = -1.018",0.6
-5.81333333333333,0.0462223520642991,-1.01769180900079,"gamma = -1.018",0.6
-5.8,0.0463971747701334,-1.01769180900079,"gamma = -1.018",0.6
-5.78666666666667,0.0465723138275415,-1.01769180900079,"gamma = -1.018",0.6
-5.77333333333333,0.0467477676427665,-1.01769180900079,"gamma = -1.018",0.6
-5.76,0.0469235346055069,-1.01769180900079,"gamma = -1.018",0.6
-5.74666666666667,0.0470996130888562,-1.01769180900079,"gamma = -1.018",0.6
-5.73333333333333,0.0472760014492433,-1.01769180900079,"gamma = -1.018",0.6
-5.72,0.0474526980263722,-1.01769180900079,"gamma = -1.018",0.6
-5.70666666666667,0.0476297011431617,-1.01769180900079,"gamma = -1.018",0.6
-5.69333333333333,0.0478070091056852,-1.01769180900079,"gamma = -1.018",0.6
-5.68,0.04798462020311,-1.01769180900079,"gamma = -1.018",0.6
-5.66666666666667,0.0481625327076366,-1.01769180900079,"gamma = -1.018",0.6
-5.65333333333333,0.048340744874438,-1.01769180900079,"gamma = -1.018",0.6
-5.64,0.0485192549415985,-1.01769180900079,"gamma = -1.018",0.6
-5.62666666666667,0.0486980611300526,-1.01769180900079,"gamma = -1.018",0.6
-5.61333333333333,0.0488771616435239,-1.01769180900079,"gamma = -1.018",0.6
-5.6,0.0490565546684634,-1.01769180900079,"gamma = -1.018",0.6
-5.58666666666667,0.0492362383739878,-1.01769180900079,"gamma = -1.018",0.6
-5.57333333333333,0.0494162109118177,-1.01769180900079,"gamma = -1.018",0.6
-5.56,0.0495964704162156,-1.01769180900079,"gamma = -1.018",0.6
-5.54666666666667,0.0497770150039237,-1.01769180900079,"gamma = -1.018",0.6
-5.53333333333333,0.0499578427741014,-1.01769180900079,"gamma = -1.018",0.6
-5.52,0.050138951808263,-1.01769180900079,"gamma = -1.018",0.6
-5.50666666666667,0.0503203401702142,-1.01769180900079,"gamma = -1.018",0.6
-5.49333333333333,0.0505020059059899,-1.01769180900079,"gamma = -1.018",0.6
-5.48,0.0506839470437904,-1.01769180900079,"gamma = -1.018",0.6
-5.46666666666667,0.0508661615939185,-1.01769180900079,"gamma = -1.018",0.6
-5.45333333333333,0.0510486475487151,-1.01769180900079,"gamma = -1.018",0.6
-5.44,0.0512314028824959,-1.01769180900079,"gamma = -1.018",0.6
-5.42666666666667,0.051414425551487,-1.01769180900079,"gamma = -1.018",0.6
-5.41333333333333,0.0515977134937609,-1.01769180900079,"gamma = -1.018",0.6
-5.4,0.0517812646291713,-1.01769180900079,"gamma = -1.018",0.6
-5.38666666666667,0.0519650768592887,-1.01769180900079,"gamma = -1.018",0.6
-5.37333333333333,0.0521491480673352,-1.01769180900079,"gamma = -1.018",0.6
-5.36,0.052333476118119,-1.01769180900079,"gamma = -1.018",0.6
-5.34666666666667,0.052518058857969,-1.01769180900079,"gamma = -1.018",0.6
-5.33333333333333,0.0527028941146684,-1.01769180900079,"gamma = -1.018",0.6
-5.32,0.0528879796973894,-1.01769180900079,"gamma = -1.018",0.6
-5.30666666666667,0.0530733133966257,-1.01769180900079,"gamma = -1.018",0.6
-5.29333333333333,0.0532588929841264,-1.01769180900079,"gamma = -1.018",0.6
-5.28,0.0534447162128287,-1.01769180900079,"gamma = -1.018",0.6
-5.26666666666667,0.0536307808167907,-1.01769180900079,"gamma = -1.018",0.6
-5.25333333333333,0.0538170845111236,-1.01769180900079,"gamma = -1.018",0.6
-5.24,0.0540036249919234,-1.01769180900079,"gamma = -1.018",0.6
-5.22666666666667,0.0541903999362034,-1.01769180900079,"gamma = -1.018",0.6
-5.21333333333333,0.0543774070018247,-1.01769180900079,"gamma = -1.018",0.6
-5.2,0.0545646438274275,-1.01769180900079,"gamma = -1.018",0.6
-5.18666666666667,0.0547521080323622,-1.01769180900079,"gamma = -1.018",0.6
-5.17333333333333,0.0549397972166188,-1.01769180900079,"gamma = -1.018",0.6
-5.16,0.055127708960758,-1.01769180900079,"gamma = -1.018",0.6
-5.14666666666667,0.0553158408258395,-1.01769180900079,"gamma = -1.018",0.6
-5.13333333333333,0.0555041903533526,-1.01769180900079,"gamma = -1.018",0.6
-5.12,0.0556927550651438,-1.01769180900079,"gamma = -1.018",0.6
-5.10666666666667,0.0558815324633457,-1.01769180900079,"gamma = -1.018",0.6
-5.09333333333333,0.0560705200303056,-1.01769180900079,"gamma = -1.018",0.6
-5.08,0.0562597152285121,-1.01769180900079,"gamma = -1.018",0.6
-5.06666666666667,0.0564491155005232,-1.01769180900079,"gamma = -1.018",0.6
-5.05333333333333,0.0566387182688928,-1.01769180900079,"gamma = -1.018",0.6
-5.04,0.0568285209360965,-1.01769180900079,"gamma = -1.018",0.6
-5.02666666666667,0.0570185208844587,-1.01769180900079,"gamma = -1.018",0.6
-5.01333333333333,0.057208715476077,-1.01769180900079,"gamma = -1.018",0.6
-5,0.0573991020527477,-1.01769180900079,"gamma = -1.018",0.6
-4.98666666666667,0.0575896779358907,-1.01769180900079,"gamma = -1.018",0.6
-4.97333333333333,0.0577804404264726,-1.01769180900079,"gamma = -1.018",0.6
-4.96,0.0579713868049314,-1.01769180900079,"gamma = -1.018",0.6
-4.94666666666667,0.0581625143310989,-1.01769180900079,"gamma = -1.018",0.6
-4.93333333333333,0.0583538202441236,-1.01769180900079,"gamma = -1.018",0.6
-4.92,0.0585453017623926,-1.01769180900079,"gamma = -1.018",0.6
-4.90666666666667,0.0587369560834536,-1.01769180900079,"gamma = -1.018",0.6
-4.89333333333333,0.0589287803839352,-1.01769180900079,"gamma = -1.018",0.6
-4.88,0.0591207718194684,-1.01769180900079,"gamma = -1.018",0.6
-4.86666666666667,0.0593129275246056,-1.01769180900079,"gamma = -1.018",0.6
-4.85333333333333,0.0595052446127406,-1.01769180900079,"gamma = -1.018",0.6
-4.84,0.0596977201760273,-1.01769180900079,"gamma = -1.018",0.6
-4.82666666666667,0.0598903512852978,-1.01769180900079,"gamma = -1.018",0.6
-4.81333333333333,0.0600831349899803,-1.01769180900079,"gamma = -1.018",0.6
-4.8,0.0602760683180158,-1.01769180900079,"gamma = -1.018",0.6
-4.78666666666667,0.060469148275775,-1.01769180900079,"gamma = -1.018",0.6
-4.77333333333333,0.0606623718479738,-1.01769180900079,"gamma = -1.018",0.6
-4.76,0.0608557359975885,-1.01769180900079,"gamma = -1.018",0.6
-4.74666666666667,0.0610492376657706,-1.01769180900079,"gamma = -1.018",0.6
-4.73333333333333,0.0612428737717603,-1.01769180900079,"gamma = -1.018",0.6
-4.72,0.0614366412128001,-1.01769180900079,"gamma = -1.018",0.6
-4.70666666666667,0.0616305368640471,-1.01769180900079,"gamma = -1.018",0.6
-4.69333333333333,0.0618245575784849,-1.01769180900079,"gamma = -1.018",0.6
-4.68,0.0620187001868346,-1.01769180900079,"gamma = -1.018",0.6
-4.66666666666667,0.0622129614974659,-1.01769180900079,"gamma = -1.018",0.6
-4.65333333333333,0.0624073382963057,-1.01769180900079,"gamma = -1.018",0.6
-4.64,0.0626018273467482,-1.01769180900079,"gamma = -1.018",0.6
-4.62666666666667,0.062796425389562,-1.01769180900079,"gamma = -1.018",0.6
-4.61333333333333,0.0629911291427985,-1.01769180900079,"gamma = -1.018",0.6
-4.6,0.0631859353016981,-1.01769180900079,"gamma = -1.018",0.6
-4.58666666666667,0.0633808405385963,-1.01769180900079,"gamma = -1.018",0.6
-4.57333333333333,0.0635758415028283,-1.01769180900079,"gamma = -1.018",0.6
-4.56,0.0637709348206339,-1.01769180900079,"gamma = -1.018",0.6
-4.54666666666667,0.0639661170950604,-1.01769180900079,"gamma = -1.018",0.6
-4.53333333333333,0.0641613849058657,-1.01769180900079,"gamma = -1.018",0.6
-4.52,0.0643567348094194,-1.01769180900079,"gamma = -1.018",0.6
-4.50666666666667,0.0645521633386042,-1.01769180900079,"gamma = -1.018",0.6
-4.49333333333333,0.0647476670027156,-1.01769180900079,"gamma = -1.018",0.6
-4.48,0.064943242287361,-1.01769180900079,"gamma = -1.018",0.6
-4.46666666666667,0.0651388856543579,-1.01769180900079,"gamma = -1.018",0.6
-4.45333333333333,0.0653345935416311,-1.01769180900079,"gamma = -1.018",0.6
-4.44,0.0655303623631089,-1.01769180900079,"gamma = -1.018",0.6
-4.42666666666667,0.0657261885086188,-1.01769180900079,"gamma = -1.018",0.6
-4.41333333333333,0.065922068343781,-1.01769180900079,"gamma = -1.018",0.6
-4.4,0.0661179982099029,-1.01769180900079,"gamma = -1.018",0.6
-4.38666666666667,0.0663139744238704,-1.01769180900079,"gamma = -1.018",0.6
-4.37333333333333,0.06650999327804,-1.01769180900079,"gamma = -1.018",0.6
-4.36,0.0667060510401287,-1.01769180900079,"gamma = -1.018",0.6
-4.34666666666667,0.0669021439531031,-1.01769180900079,"gamma = -1.018",0.6
-4.33333333333333,0.0670982682350682,-1.01769180900079,"gamma = -1.018",0.6
-4.32,0.0672944200791537,-1.01769180900079,"gamma = -1.018",0.6
-4.30666666666667,0.0674905956534008,-1.01769180900079,"gamma = -1.018",0.6
-4.29333333333333,0.0676867911006461,-1.01769180900079,"gamma = -1.018",0.6
-4.28,0.0678830025384064,-1.01769180900079,"gamma = -1.018",0.6
-4.26666666666667,0.0680792260587604,-1.01769180900079,"gamma = -1.018",0.6
-4.25333333333333,0.0682754577282307,-1.01769180900079,"gamma = -1.018",0.6
-4.24,0.0684716935876636,-1.01769180900079,"gamma = -1.018",0.6
-4.22666666666667,0.0686679296521084,-1.01769180900079,"gamma = -1.018",0.6
-4.21333333333333,0.068864161910695,-1.01769180900079,"gamma = -1.018",0.6
-4.2,0.0690603863265106,-1.01769180900079,"gamma = -1.018",0.6
-4.18666666666667,0.069256598836475,-1.01769180900079,"gamma = -1.018",0.6
-4.17333333333333,0.0694527953512143,-1.01769180900079,"gamma = -1.018",0.6
-4.16,0.0696489717549339,-1.01769180900079,"gamma = -1.018",0.6
-4.14666666666667,0.06984512390529,-1.01769180900079,"gamma = -1.018",0.6
-4.13333333333333,0.0700412476332593,-1.01769180900079,"gamma = -1.018",0.6
-4.12,0.0702373387430079,-1.01769180900079,"gamma = -1.018",0.6
-4.10666666666667,0.0704333930117587,-1.01769180900079,"gamma = -1.018",0.6
-4.09333333333333,0.070629406189657,-1.01769180900079,"gamma = -1.018",0.6
-4.08,0.0708253739996356,-1.01769180900079,"gamma = -1.018",0.6
-4.06666666666667,0.071021292137277,-1.01769180900079,"gamma = -1.018",0.6
-4.05333333333333,0.0712171562706761,-1.01769180900079,"gamma = -1.018",0.6
-4.04,0.0714129620402994,-1.01769180900079,"gamma = -1.018",0.6
-4.02666666666667,0.071608705058844,-1.01769180900079,"gamma = -1.018",0.6
-4.01333333333333,0.0718043809110949,-1.01769180900079,"gamma = -1.018",0.6
-4,0.0719999851537802,-1.01769180900079,"gamma = -1.018",0.6
-3.98666666666667,0.0721955133154256,-1.01769180900079,"gamma = -1.018",0.6
-3.97333333333333,0.0723909608962062,-1.01769180900079,"gamma = -1.018",0.6
-3.96,0.0725863233677979,-1.01769180900079,"gamma = -1.018",0.6
-3.94666666666667,0.0727815961732262,-1.01769180900079,"gamma = -1.018",0.6
-3.93333333333333,0.0729767747267142,-1.01769180900079,"gamma = -1.018",0.6
-3.92,0.0731718544135275,-1.01769180900079,"gamma = -1.018",0.6
-3.90666666666667,0.0733668305898197,-1.01769180900079,"gamma = -1.018",0.6
-3.89333333333333,0.0735616985824738,-1.01769180900079,"gamma = -1.018",0.6
-3.88,0.0737564536889431,-1.01769180900079,"gamma = -1.018",0.6
-3.86666666666667,0.0739510911770905,-1.01769180900079,"gamma = -1.018",0.6
-3.85333333333333,0.0741456062850252,-1.01769180900079,"gamma = -1.018",0.6
-3.84,0.0743399942209384,-1.01769180900079,"gamma = -1.018",0.6
-3.82666666666667,0.0745342501629362,-1.01769180900079,"gamma = -1.018",0.6
-3.81333333333333,0.0747283692588716,-1.01769180900079,"gamma = -1.018",0.6
-3.8,0.0749223466261742,-1.01769180900079,"gamma = -1.018",0.6
-3.78666666666667,0.0751161773516779,-1.01769180900079,"gamma = -1.018",0.6
-3.77333333333333,0.0753098564914466,-1.01769180900079,"gamma = -1.018",0.6
-3.76,0.0755033790705979,-1.01769180900079,"gamma = -1.018",0.6
-3.74666666666667,0.0756967400831257,-1.01769180900079,"gamma = -1.018",0.6
-3.73333333333333,0.0758899344917191,-1.01769180900079,"gamma = -1.018",0.6
-3.72,0.0760829572275808,-1.01769180900079,"gamma = -1.018",0.6
-3.70666666666667,0.0762758031902424,-1.01769180900079,"gamma = -1.018",0.6
-3.69333333333333,0.0764684672473783,-1.01769180900079,"gamma = -1.018",0.6
-3.68,0.0766609442346169,-1.01769180900079,"gamma = -1.018",0.6
-3.66666666666667,0.07685322895535,-1.01769180900079,"gamma = -1.018",0.6
-3.65333333333333,0.0770453161805399,-1.01769180900079,"gamma = -1.018",0.6
-3.64,0.077237200648524,-1.01769180900079,"gamma = -1.018",0.6
-3.62666666666667,0.0774288770648181,-1.01769180900079,"gamma = -1.018",0.6
-3.61333333333333,0.0776203401019157,-1.01769180900079,"gamma = -1.018",0.6
-3.6,0.0778115843990869,-1.01769180900079,"gamma = -1.018",0.6
-3.58666666666667,0.0780026045621738,-1.01769180900079,"gamma = -1.018",0.6
-3.57333333333333,0.0781933951633835,-1.01769180900079,"gamma = -1.018",0.6
-3.56,0.0783839507410795,-1.01769180900079,"gamma = -1.018",0.6
-3.54666666666667,0.07857426579957,-1.01769180900079,"gamma = -1.018",0.6
-3.53333333333333,0.0787643348088937,-1.01769180900079,"gamma = -1.018",0.6
-3.52,0.0789541522046035,-1.01769180900079,"gamma = -1.018",0.6
-3.50666666666667,0.0791437123875475,-1.01769180900079,"gamma = -1.018",0.6
-3.49333333333333,0.0793330097236473,-1.01769180900079,"gamma = -1.018",0.6
-3.48,0.079522038543674,-1.01769180900079,"gamma = -1.018",0.6
-3.46666666666667,0.0797107931430214,-1.01769180900079,"gamma = -1.018",0.6
-3.45333333333333,0.0798992677814764,-1.01769180900079,"gamma = -1.018",0.6
-3.44,0.0800874566829868,-1.01769180900079,"gamma = -1.018",0.6
-3.42666666666667,0.0802753540354267,-1.01769180900079,"gamma = -1.018",0.6
-3.41333333333333,0.0804629539903587,-1.01769180900079,"gamma = -1.018",0.6
-3.4,0.0806502506627935,-1.01769180900079,"gamma = -1.018",0.6
-3.38666666666667,0.0808372381309466,-1.01769180900079,"gamma = -1.018",0.6
-3.37333333333333,0.0810239104359922,-1.01769180900079,"gamma = -1.018",0.6
-3.36,0.0812102615818141,-1.01769180900079,"gamma = -1.018",0.6
-3.34666666666667,0.0813962855347541,-1.01769180900079,"gamma = -1.018",0.6
-3.33333333333333,0.0815819762233562,-1.01769180900079,"gamma = -1.018",0.6
-3.32,0.0817673275381098,-1.01769180900079,"gamma = -1.018",0.6
-3.30666666666667,0.0819523333311875,-1.01769180900079,"gamma = -1.018",0.6
